image,text
/home/user/dataset/dataset/demodata/Maltese31.jpg,the breed is Maltese
/home/user/dataset/dataset/demodata/shitzu09.jpg,the breed is shitzu
/home/user/dataset/dataset/demodata/redbone8.jpg,the breed is redbone
/home/user/dataset/dataset/demodata/Maltese23.jpg,the breed is Maltese
/home/user/dataset/dataset/demodata/Maltese40.jpg,the breed is Maltese
/home/user/dataset/dataset/demodata/irish_grayhound32.jpg,the breed is irish_grayhound
/home/user/dataset/dataset/demodata/japanese_spaniel58.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/japanese_spaniel42.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/norweight_elkahound4.jpg,the breed is norweight_elkahound
/home/user/dataset/dataset/demodata/redbone17.jpg,the breed is redbone
/home/user/dataset/dataset/demodata/bloodhound06.jpg,the breed is bloodhound
/home/user/dataset/dataset/demodata/Komondor16.jpg,the breed is Komondor
/home/user/dataset/dataset/demodata/bloodhound05.jpg,the breed is bloodhound
/home/user/dataset/dataset/demodata/japanese_spaniel49.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/japanese_spaniel75.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/rotweiller11.jpg,the breed is rotweiller
/home/user/dataset/dataset/demodata/shitzu07.jpg,the breed is shitzu
/home/user/dataset/dataset/demodata/bloodhound19.jpg,the breed is bloodhound
/home/user/dataset/dataset/demodata/japanese_spaniel26.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/japanese_spaniel24.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/bloodhound12.jpg,the breed is bloodhound
/home/user/dataset/dataset/demodata/japanese_spaniel35.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/japanese_spaniel31.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/Maltese21.jpg,the breed is Maltese
/home/user/dataset/dataset/demodata/japanese_spaniel36.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/Maltese13.jpg,the breed is Maltese
/home/user/dataset/dataset/demodata/japanese_spaniel57.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/shitzu06.jpg,the breed is shitzu
/home/user/dataset/dataset/demodata/japanese_spaniel05.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/japanese_spaniel33.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/japanese_spaniel41.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/bloodhound11.jpg,the breed is bloodhound
/home/user/dataset/dataset/demodata/irish_grayhound29.jpg,the breed is irish_grayhound
/home/user/dataset/dataset/demodata/japanese_spaniel48.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/rotweiller27.jpg,the breed is rotweiller
/home/user/dataset/dataset/demodata/irish_grayhound09.jpg,the breed is irish_grayhound
/home/user/dataset/dataset/demodata/japanese_spaniel65.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/Maltese42.jpg,the breed is Maltese
/home/user/dataset/dataset/demodata/japanese_spaniel07.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/japanese_spaniel30.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/japanese_spaniel52.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/redbone24.jpg,the breed is redbone
/home/user/dataset/dataset/demodata/redbone11.jpg,the breed is redbone
/home/user/dataset/dataset/demodata/norweight_elkahound17.jpg,the breed is norweight_elkahound
/home/user/dataset/dataset/demodata/japanese_spaniel67.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/Maltese29.jpg,the breed is Maltese
/home/user/dataset/dataset/demodata/Maltese02.jpg,the breed is Maltese
/home/user/dataset/dataset/demodata/irish_grayhound04.jpg,the breed is irish_grayhound
/home/user/dataset/dataset/demodata/irish_grayhound27.jpg,the breed is irish_grayhound
/home/user/dataset/dataset/demodata/redbone7.jpg,the breed is redbone
/home/user/dataset/dataset/demodata/Maltese07.jpg,the breed is Maltese
/home/user/dataset/dataset/demodata/Komondor10.jpg,the breed is Komondor
/home/user/dataset/dataset/demodata/Maltese10.jpg,the breed is Maltese
/home/user/dataset/dataset/demodata/japanese_spaniel68.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/rotweiller21.jpg,the breed is rotweiller
/home/user/dataset/dataset/demodata/Maltese35.jpg,the breed is Maltese
/home/user/dataset/dataset/demodata/bloodhound15.jpg,the breed is bloodhound
/home/user/dataset/dataset/demodata/bloodhound26.jpg,the breed is bloodhound
/home/user/dataset/dataset/demodata/japanese_spaniel19.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/irish_grayhound06.jpg,the breed is irish_grayhound
/home/user/dataset/dataset/demodata/japanese_spaniel61.jpg,the breed is japanese_spaniel
/home/user/dataset/dataset/demodata/irish_grayhound05.jpg,the breed is irish_grayhound
/home/user/dataset/dataset/demodata/shitzu14.jpg,the breed is shitzu
